shortPostcode,Town,District,County,Population2021,Population2022,Population2023,Population2024
LS9,LEEDS,WAKEFIELD,WEST YORKSHIRE,39236.5864759722,39393.07728834981,39570.674246229,39737.551741375
LS26,LEEDS,WAKEFIELD,WEST YORKSHIRE,32355.1492225227,32484.194178804304,32630.643617701502,32768.2536073125
LS14,LEEDS,WAKEFIELD,WEST YORKSHIRE,37165.1499213708,37313.379036737206,37481.600030406,37639.66747925
LS1,LEEDS,WAKEFIELD,WEST YORKSHIRE,6206.765409963301,6231.520411569701,6259.6141565685,6286.0122089375
WF15,LIVERSEDGE,WAKEFIELD,WEST YORKSHIRE,19072.951460343902,19149.0218307951,19235.3519237355,19316.4712730625
WF14,MIRFIELD,WAKEFIELD,WEST YORKSHIRE,21084.033984218102,21168.125336262903,21263.5582123545,21353.230915687498
WF6,NORMANTON,WAKEFIELD,WEST YORKSHIRE,22974.408446637903,23066.039349441104,23170.0286465655,23267.7413193125
WF5,OSSETT,WAKEFIELD,WEST YORKSHIRE,22881.7218994497,22972.983132147303,23076.5529012165,23173.8713679375
WF9,PONTEFRACT,WAKEFIELD,WEST YORKSHIRE,42296.320283731504,42465.01450808351,42656.460770017504,42836.3516478125
WF7,PONTEFRACT,WAKEFIELD,WEST YORKSHIRE,21754.394825509502,21841.159838085503,21939.6269752275,22032.1507965625
WF8,PONTEFRACT,WAKEFIELD,WEST YORKSHIRE,34893.2517647112,35032.4196640008,35190.357342084004,35338.7621595
HX6,SOWERBY BRIDGE,WAKEFIELD,WEST YORKSHIRE,20141.002254105602,20221.332427750403,20312.496849792,20398.158735999998
WF3,STANLEY,WAKEFIELD,WEST YORKSHIRE,35128.201384327804,35268.30635435021,35427.307487271,35576.711571125
WF4,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,46675.220763099605,46861.379750696404,47072.646274122,47271.16109475
WF3,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,35128.201384327804,35268.30635435021,35427.307487271,35576.711571125
WF1,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,36532.510349283904,36678.2162512551,36843.5737220355,36998.9504855625
WF2,WAKEFIELD,WAKEFIELD,WEST YORKSHIRE,54990.06624632011,55209.38808118091,55458.2901737445,55692.168941937496
