shortPostcode,Town,District,County,Population2021,Population2022,Population2023,Population2024
S25,SHEFFIELD,ROTHERHAM,SOUTH YORKSHIRE,22741.614328118703,22832.3167571683,22935.2523559215,23031.9749298125
S20,SHEFFIELD,ROTHERHAM,SOUTH YORKSHIRE,33821.9677193034,33956.8629199306,34109.951634213,34253.800163374995
S13,SHEFFIELD,ROTHERHAM,SOUTH YORKSHIRE,33054.609328629005,33186.444004661,33336.059416905,33476.644286875
S35,SHEFFIELD,ROTHERHAM,SOUTH YORKSHIRE,44619.950466728704,44797.9122346583,44999.8759673715,45189.649498562496
S81,WORKSOP,ROTHERHAM,SOUTH YORKSHIRE,40247.5164906528,40408.039286275205,40590.212026896,40761.389118
S80,WORKSOP,ROTHERHAM,SOUTH YORKSHIRE,32367.004478558403,32496.096718225603,32642.599817688002,32780.260229
S74,BARNSLEY,SHEFFIELD,SOUTH YORKSHIRE,19086.962217477,19163.088468293,19249.481978265,19330.660916875
DN5,DONCASTER,SHEFFIELD,SOUTH YORKSHIRE,44041.198422076806,44216.851901091206,44416.196022576,44603.508058
DN6,DONCASTER,SHEFFIELD,SOUTH YORKSHIRE,33569.7740909076,33703.663444968406,33855.610652682,33998.38657475
S64,MEXBOROUGH,SHEFFIELD,SOUTH YORKSHIRE,33082.6308428952,33214.577279656805,33364.319525964,33505.023574499995
S66,ROTHERHAM,SHEFFIELD,SOUTH YORKSHIRE,49773.753590612105,49972.2707358089,50197.5621796845,50409.2553994375
S61,ROTHERHAM,SHEFFIELD,SOUTH YORKSHIRE,38605.024654434004,38758.996551906006,38933.73486513,39097.92625875
S63,ROTHERHAM,SHEFFIELD,SOUTH YORKSHIRE,41057.9849032752,41221.74016307681,41407.581335064,41582.205437
S17,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,16797.8200520382,16864.816310943803,16940.848453599,17012.291420125
S10,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,51093.9980127696,51297.780807726405,51529.048087272,51746.356451
S13,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,33054.609328629005,33186.444004661,33336.059416905,33476.644286875
S20,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,33821.9677193034,33956.8629199306,34109.951634213,34253.800163374995
S12,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,37012.109343455406,37159.728073298604,37327.256357853,37484.672908374996
S11,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,37056.297115952104,37204.092083868905,37371.8203759845,37529.4248619375
S36,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,29473.2442552989,29590.7950503901,29724.2000937105,29849.5530261875
S35,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,44619.950466728704,44797.9122346583,44999.8759673715,45189.649498562496
S14,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,10416.459053185501,10458.0039551695,10505.1520790475,10549.4544190625
S26,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,27900.8062047456,28012.085503510403,28138.373204592,28257.038386
S25,SHEFFIELD,SHEFFIELD,SOUTH YORKSHIRE,22741.614328118703,22832.3167571683,22935.2523559215,23031.9749298125
IP18,SOUTHWOLD,SHEFFIELD,SOUTH YORKSHIRE,4375.6672277220005,4393.119095498,4412.92472229,4431.53491375
DE11,SWADLINCOTE,SHEFFIELD,SOUTH YORKSHIRE,47215.173787998305,47403.4863188847,47617.1968371435,47818.0081370625
WF17,BATLEY,BRADFORD,WEST YORKSHIRE,47118.176238615306,47306.1019054377,47519.3733827085,47719.7721414375
BD16,BINGLEY,BRADFORD,WEST YORKSHIRE,27809.1974081061,27920.111335254904,28045.9843865145,28164.2599456875
BD4,BRADFORD,BRADFORD,WEST YORKSHIRE,33645.2166293166,33779.4068776494,33931.695561687004,34074.792349125
BD10,BRADFORD,BRADFORD,WEST YORKSHIRE,27894.339701453402,28005.593209280603,28131.851640963,28250.489319624998
BD1,BRADFORD,BRADFORD,WEST YORKSHIRE,4134.2511048132,4150.7401109188,4169.453013474,4187.03643575
BD9,BRADFORD,BRADFORD,WEST YORKSHIRE,31587.790831848302,31713.775263534702,31856.7514003935,31991.0977308125
BD12,BRADFORD,BRADFORD,WEST YORKSHIRE,17982.2679050595,18053.9882040355,18135.3815249775,18211.8620778125
BD13,BRADFORD,BRADFORD,WEST YORKSHIRE,26921.130955977304,27028.502927695703,27150.3563147985,27264.854830187498
BD8,BRADFORD,BRADFORD,WEST YORKSHIRE,33951.297785147406,34086.70880452661,34240.382906793,34384.781490875
BD6,BRADFORD,BRADFORD,WEST YORKSHIRE,32410.114500506403,32539.378679757603,32686.076908548,32823.9206715
BD3,BRADFORD,BRADFORD,WEST YORKSHIRE,36666.151417322704,36812.3903320043,36978.3527037015,37134.2978573125
BD7,BRADFORD,BRADFORD,WEST YORKSHIRE,38093.0931438015,38245.0232587135,38417.444411167504,38579.458504062495
BD15,BRADFORD,BRADFORD,WEST YORKSHIRE,16506.8274038892,16572.6630706028,16647.378090294,16717.583433249998
BD14,BRADFORD,BRADFORD,WEST YORKSHIRE,9560.7251175177,9598.857018759301,9642.1318254765,9682.7946354375
BD2,BRADFORD,BRADFORD,WEST YORKSHIRE,30787.0221741642,30909.812828077804,31049.164437669002,31180.105011375
BD5,BRADFORD,BRADFORD,WEST YORKSHIRE,34101.105111416706,34237.1136208503,34391.4657975315,34536.5015285625
BD11,BRADFORD,BRADFORD,WEST YORKSHIRE,12237.857480488501,12286.666829896501,12342.0591678825,12394.1081146875
BD19,CLECKHEATON,BRADFORD,WEST YORKSHIRE,23730.9893318253,23825.6377743277,23933.0515911585,24033.982085187497
HX3,HALIFAX,BRADFORD,WEST YORKSHIRE,49515.0934589241,49712.57896661691,49936.6996345245,50147.2927444375
HD8,HUDDERSFIELD,BRADFORD,WEST YORKSHIRE,36988.398831384,37135.92299445601,37303.34395788,37460.659665
HD7,HUDDERSFIELD,BRADFORD,WEST YORKSHIRE,24439.0714423212,24536.543992490802,24647.162808534,24751.10485325
LS29,ILKLEY,BRADFORD,WEST YORKSHIRE,33901.7212599072,34036.9345487648,34190.384252304,34334.571982
BD22,KEIGHLEY,BRADFORD,WEST YORKSHIRE,32169.776128146303,32298.081744216703,32443.6921270035,32580.513704562498
BD20,KEIGHLEY,BRADFORD,WEST YORKSHIRE,38060.7606273405,38212.561787564504,38384.8365930225,38546.7131721875
BD21,KEIGHLEY,BRADFORD,WEST YORKSHIRE,29242.605637877103,29359.236556193904,29491.5976576095,29615.9696588125
WF11,KNOTTINGLEY,BRADFORD,WEST YORKSHIRE,18304.5153191208,18377.5208664872,18460.372779156,18538.2238855
LS19,LEEDS,BRADFORD,WEST YORKSHIRE,21377.182133464503,21462.4426746805,21559.202430202502,21650.1219246875
